Structure Number1,GPS Lat,GPS Long,Wood Species2,Preservative3,Moisture %,Chlorine %,Sawdust Program wt.% Pres.,Sawdust Progrqm PCF,Comments
276 (2),45.61676 N,62.66705 W,RP,Creo?,10.8,Appeared to be treated with Creo,,-0.007,Pre-Test (Low Range)
277 (1),45.61763 N,62.66497 W,WRC?,?,8.9,,,-0.002,Pre-Test (Low Range)
277 (2),45.61763 N,62.66497 W,SYP,CCA,10.2,,,0,
278 (1),45.61683 N,62.66300 W,DF,Penta,16.1,,0.861,0.242,
278 (2),45.61683 N,62.66300 W,DF,Penta,15.2,,1.082,0.304,
278 (3),45.61683 N,62.66300 W,DF,?,15.9,Could not be located,,0,
279 (1),45.61935 N,62.66060 W,DF,Penta,14.6,,0.887,0.249,
279 (2),45.61935 N,62.66060 W,DF,Penta,14,,0.629,0.177,
280 (1),45.62003 N,62.65860 W,P ,Creo,13.8, Treated with Creo,0.028,0,Pre-Test (Low Range)
280 (2),45.62003 N,62.65860 W,P ,Creo,13.4, Treated with Creo,-0.07,0,Pre-Test (Low Range)
281 (1),45.62082 N,62.65588 W,DF,Penta,17.2,,1.322,0.371,
281 (2),45.62082 N,62.65588 W,DF,Penta,15,,1.746,0.491,
282 (1),45.62151 N,62.65372 W,RP,Penta,16.2,,1.321,0.321,
282 (2),45.62151 N,62.65372 W,DF,Penta,12.9,,0.914,0.257,
283 (1),45.62240 N,62.65103 W,WRC?,?,27.9,,,0.004,Pre-Test (Low Range)
283 (2),45.62240 N,62.65103 W,WRC?,?,22.8,,,-0.001,Pre-Test (Low Range)
283 (3),45.62240 N,62.65103 W,WRC?,?,17.8,,,-0.002,Pre-Test (Low Range)
284 (1),,,,,,MISSING (Swamp),,0,
284 (2),,,,,,MISSING (Swamp),,0,
285 (1),,,,,,MISSING (Swamp),,0,
285 (2),,,,,,MISSING (Swamp),,0,
286 (1),,,,,,MISSING (Swamp),,0,
286 (2),,,,,,MISSING (Swamp),,0,
287 (1),,,,,,MISSING (Swamp),,0,
287 (2),,,,,,MISSING (Swamp),,0,
288 (1),,,,,,MISSING (Swamp),,0,
288 (2),,,,,,MISSING (Swamp),,0,
289 (1),,,,,,MISSING (Swamp),,0,
289 (2),,,,,,MISSING (Swamp),,0,
290 (1),,,,,,MISSING (Swamp),,0,
290 (2),,,,,,MISSING (Swamp),,0,
291 (1),45.63012 N,62.63194 W,DF,Penta,14.2,,1.718,0.483,
291 (2),45.63012 N,62.63194 W,DF,Penta,9.1,,0.689,0.194,
292 (1),45.62920 N,62.62856 W,RP,Creo?,9.1,Appeared to be treated with Creo,,0.003,Pre-Test (Low Range)
292 (2),45.62920 N,62.62856 W,RP,Creo?,10.1,Appeared to be treated with Creo,,-0.002,Pre-Test (Low Range)
293 (1),45.62845 N,62.62608 W,RP,Penta,18.1,,0.722,0.175,
293 (2),45.62845 N,62.62608 W,RP,Penta,16.2,,0.19,0.046,
294 (1),45.62803 N,62.60469 W,RP,Creo?,9.3,Appeared to be treated with Creo,,0.017,Pre-Test (Low Range)
294 (2),45.62803 N,62.60469 W,RP,Creo?,8.4,Appeared to be treated with Creo,,0,Pre-Test (Low Range)
295 (1),45.62756 N,62.62305 W,WRC,?,18.4,,,0.009,Pre-Test (Low Range)
295 (2),45.62756 N,62.62305 W,RP,Penta,16.3,,0.581,0.141,
296 (1),45.62671 N,62.62038 W,DF,Penta,14.2,,1.515,0.426,
296 (2),45.62671 N,62.62038 W,DF,Penta,17,,2.02,0.568,
297 (1),45.62625 N,62.61885 W,SYP,Penta,13.1,,0.875,0.295,
297 (2),45.62625 N,62.61885 W,SYP,Penta,10.3,,0.627,0.211,
298 (1),45.62567 N,62.61605 W,RP,Penta,14.5,,0.466,0.113,
298 (2),45.62567 N,62.61605 W,RP,Penta,15.1,,0.404,0.098,
299 (1),45.62495 N,62.61409 W,SYP,Penta,12.1,,0.371,0.125,
299 (2),45.62495 N,62.61409 W,SYP,Penta,11.2,,0.482,0.162,
300 (1),45.62406 N,62.62261 W,SYP,?,13.9,,-0.069,0,
300 (2),45.62406 N,62.62261 W,SYP,?,26.3,,-0.096,0,
301 (1),45.62322 N,62.60798 W,SYP,Penta,13.3,,0.807,0.408,
301 (2),45.62322 N,62.60798 W,DF,Penta,11.8,,2.024,0.569,
302 (1),45.62258 N,62.60612 W,SYP,Penta,11.3,,1.021,0.344,
302 (2),45.62258 N,62.60612 W,SYP,Creo?,9.4,Appeared to be treated with Creo,,0.022,Pre-Test (Low Range)
303 (1),45.62204 N,62.60385 W,RP,Penta,17.2,,0.663,0.161,
303 (2),45.62204 N,62.60385 W,RP,Penta,9.9,,0.289,0.07,
304 (1),45.62112 N,62.60066 W,DF,Penta,8.4,,1.564,0.439,
304 (2),45.62112 N,62.60066 W,DF,Penta,13.2,,1.92,0.539,
305 (1),45.62025 N,62.59802 W,WRC?,?,14.8,,,0.009,Pre-Test (Low Range)
305 (2),45.62025 N,62.59802 W,WRC?,?,13.1,,,0.012,Pre-Test (Low Range)
306 (1),45.61921 N,62.59441 W,DF,Penta,17.2,,1.154,0.324,
306 (2),45.61921 N,62.59441 W,DF,Penta,9,,0.35,0.098,
307 (1),45.61834 N,62.59146 W,P ,?,16.2,,,0.008,Pre-Test (Low Range)
307 (2),45.61834 N,62.59146 W,P ,?,10.9,,,-0.002,Pre-Test (Low Range)
307 (3),45.61834 N,62.59146 W,P ,?,9.7,,,0.001,Pre-Test (Low Range)
308 (1),45.61770 N,62.58886 W,RP,Penta,14.2,,0.087,0.021,
308 (2),45.61770 N,62.58886 W,RP,Penta,21.9,,0.702,0.171,
309 (1),45.61709 N,62.58650 W,DF,Penta,13.1,,0.832,0.234,
309 (2),45.61709 N,62.58650 W,DF,Penta,7.3,,1.353,0.38,
310 (1),45.61652 N,62.58425 W,P ,?,11.3,,-0.048,0,
310 (2),45.61652 N,62.58425 W,P ,Penta,8.1,,0.672,0.283,
311 (1),45.61595 N,62.58213 W,P ,?,11.4,,,0.004,Pre-Test (Low Range)
311 (2),45.61595 N,62.58213 W,P ,?,12.6,,,-0.001,Pre-Test (Low Range)
312 (1),45.61508 N,62.57875 W,DF,Penta,8.3,,1.131,0.318,
312 (2),45.61508 N,62.57875 W,DF,Penta,9.7,,0.936,0.263,
312 (3),45.61508 N,62.57875 W,DF,Penta,13.1,,1.142,0.321,
313 (1),45.61463 N,62.57546 W,P ,Penta,8.7,,0.572,0.139,
313 (2),45.61463 N,62.57546 W,P,Penta,9.1,,0.458,0.111,
314 (1),45.61416 N,62.57226 W,DF,Penta,9.2,,1.581,0.444,
314 (2),45.61416 N,62.57226 W,DF,Penta,8.3,,1.801,0.506,
315 (1),45.61384 N,62.56987 W,P,Penta,6,,1.169,0.284,
315 (2),45.61384 N,62.56987 W,P,Penta,9.8,,0.053,0.018, 
316 (1),45.61352 N,62.56750 W,P,Creo?,11.7,Appeared to be treated with Creo,,-0.002,Pre-Test (Low Range)
316 (2),45.61352 N,62.56750 W,P,Creo?,8.4,Appeared to be treated with Creo,,0.006,Pre-Test (Low Range)
317 (1),45.61320 N,62.56549 W,RP,Creo?,11.3,Appeared to be treated with Creo,,-0.005,Pre-Test (Low Range)
317 (2),45.61320 N,62.56549 W,RP,Creo?,8.1,Appeared to be treated with Creo,,-0.003,Pre-Test (Low Range)
318 (1),45.61288 N,62.56286 W,DF,Penta,12.9,,0.74,0.208,
318 (2),45.61288 N,62.56286 W,P,?,11.9,,,-0.005,Pre-Test (Low Range)
319 (1),45.61229 N,62.55990 W,P,?,15.2,,,-0.001,Pre-Test (Low Range)
319 (2),45.61229 N,62.55990 W,P,?,11.9,,,0.001,Pre-Test (Low Range)
320 (1),45.61220 N,62.55847 W,P,?,21,,-0.05,0,
320 (2),45.61220 N,62.55847 W,P,?,16.1,,-0.035,0,
321 (1),45.61184 N,62.55522 W,DF,Penta,11.2,,1.664,0.467,
321 (2),45.61184 N,62.55522 W,DF,Penta,14.9,,1.305,0.367,
322 (1),45.61115 N,62.55175 W,DF,Penta,11.9,,1.133,0.318,
322 (2),45.61115 N,62.55175 W,DF,Penta,12.2,,1.601,0.45,
323 (1),45.61098 N,62.54975 W,RP,Creo?,11.2,Appeared to be treated with Creo,,-0.003,Pre-Test (Low Range)
323 (2),45.61098 N,62.54975 W,RP,Creo?,8.2,Appeared to be treated with Creo,,-0.006,Pre-Test (Low Range)
324 (1),45.61049 N,52.54807 W,RP,Creo?,7.2,Appeared to be treated with Creo,,-0.004,Pre-Test (Low Range)
324 (2),45.61049 N,52.54807 W,RP,Creo?,11.1,Appeared to be treated with Creo,,-0.007,Pre-Test (Low Range)
324 (3),45.61049 N,52.54807 W,RP,Creo?,11.9,Appeared to be treated with Creo,,-0.006,Pre-Test (Low Range)
325 (1),45.60967 N,62.54608 W,DF,Penta,9.9,,0.55,0.155,
325 (2),45.60967 N,62.54608 W,DF,Penta,6.3,,0.119,0.033,
326 (1),45.60858 N,62.54398 W,RP,Penta,11.2,,0.377,0.092,
326 (2),45.60858 N,62.54398 W,RP,Penta,11.2,,0.5,0.122,
327 (1),45.60748 N,62.54183 W,RP,Creo?,11.9,Appeared to be treated with Creo,,0.003,Pre-Test (Low Range)
327 (2),45.60748 N,62.54183 W,RP,Creo?,7.8,Appeared to be treated with Creo,,0,Pre-Test (Low Range)
328 (1),45.60659 N,62.54022 W,P,Penta,12.2,,0.263,0.064,
328 (2),45.60659 N,62.54022 W,P,Penta,15,,1.004,0.244,
329 (1),45.60634 N,62.53595 W,DF,Penta,11.2,,1.961,0.551,
329 (2),45.60634 N,62.53595 W,DF,Penta,7.9,,0.795,0.223,
330 (1),,,,,,MISSING,,,
330 (2),,,,,,MISSING,,,
331 (1),,,,,,MISSING,,,
331 (2),,,,,,MISSING,,,
332 (1),45.60111 N,62.53013 W,P,?,11.7,,-0.049,,
332 (2),45.60111 N,62.53013 W,P,?,9.1,,-0.047,,
333 (1),45.59981 N,62.52763 W,RP,Creo?,12.2,Appeared to be treated with Creo,,,
333 (2),45.59981 N,62.52763 W,RP,Creo?,9.8,Appeared to be treated with Creo,,,
333 (3),45.59981 N,62.52763 W,RP,Creo?,10,Appeared to be treated with Creo,,,
334 (1),45.59873 N,62.52513 W,DF,Penta,10.9,,1.674,0.47,
334 (2),45.59873 N,62.52513 W,DF,,8.7,,,,
335 (1),45.59816 N,62.52409 W,RP,,10.2,,,,
335 (2),45.59816 N,62.52409 W,RP,,9.7,,,,
336 (1),45.59745 N,62.52252 W,DF,,9.9,,,,
336 (2),45.59745 N,62.52252 W,DF,,9.6,,,,
336 (3),45.59745 N,62.52252 W,DF,,12.3,,,,
337 (1),45.59710 N,62.52017 W,RP,,10.9,,,,
337 (2),45.59710 N,62.52017 W,RP,,8.7,,,,
338 (1),45.59640 N,62.51635 W,P,,18.7,,,,
338 (2),45.59640 N,62.51635 W,P,,12.9,,,,
339 (1),45.59596 N,62.51399 W,P,,12.8,,,,
339 (2),45.59596 N,62.51399 W,P,,11.2,,,,
340 (1),45.59559 N,62.51040 W,DF,Penta,19.1,,1.27,0.357,
340 (2),45.59559 N,62.51040 W,DF,,18.2,,,,
340 (3),45.59559 N,62.51040 W,DF,,12,,,,
341 (1),45.59448 N,62.50552 W,P,,11,,,,
341 (2),45.59448 N,62.50552 W,P,,9.8,,,,
341 (3),45.59448 N,62.50552 W,P,,7.2,,,,
342 (1),45.59405 N,62.50493 W,RP,,12.9,,,,
342 (2),45.59405 N,62.50493 W,RP,,10.3,,,,
343 (1),45.59169N,62.50208 W,WRC,,10.9,,,,
343 (2),45.59169N,62.50208 W,WRC,,12.2,,,,
344 (1),45.59053 N,62.50081 W,SYP,,14.2,,,,
344 (2),45.59053 N,62.50081 W,SYP,,12.9,,,,
344 (3),45.59053 N,62.50081 W,SYP,,8.7,,,,
345 (1),45.58951 N,62.49914 W,WRC,,12.8,,,,
345 (2),45.58951 N,62.49914 W,WRC,,2.7,,,,
346 (1),45.58838 N,62.49721W,RP,,12.1,,,,
346 (2),45.58838 N,62.49721W,RP,,8.7,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Note: Preservative and wood species (Lab Determination),,,,,,,,
,,,,,,,,,
,,,,,,,,,
619 (1),45.57833 N,61.75133 W,DF,Penta,21.2,2.679,,1.129,
619 (2),45.57833 N,61.75133 W,DF,Penta,19.3,1.185,,0.499,
620 (1),45.57828 N,61.74914 W,RP,Penta,9.1,0.892,,0.325,
620 (2),45.57828 N,61.74914 W,RP,Penta,12.2,0.028,,0.01,
621 (1),45.57821 N,61.74602 W,DF,Penta,20.4,1.025,,0.432,
621 (2),45.57821 N,61.74602 W,DF,Penta,21.6,0.826,,0.348,
622 (1),45.57818 N,61.74218 W,DF,Penta,20.9,0.294,,0.124,
622 (2),45.57818 N,61.74218 W,DF,Penta,18.9,0.903,,0.381,
622 (3),45.57818 N,61.74218 W,DF,Penta,21.7,0.494,,0.208,
623 (1),45.57820 N,61.73819 W,SYP,Penta,21.3,0.925,,0.467,
623 (2),45.57820 N,61.73819 W,SYP,Penta,19.8,0.79,,0.399,
624 (1),45.57822 N,61.73611 W,RP,Creo,21,,,0,Pre-Test (Low Range)
624 (2),45.57822 N,61.73611 W,RP,Creo,17,,,0,Pre-Test (Low Range)
625 (1),45.57816 N,61.73319 W,RP,Creo,19.8,,,0,Pre-Test (Low Range)
625 (2),45.57816 N,61.73319 W,RP,Creo,21.2,,,0,Pre-Test (Low Range)
626 (1),45.57783 N,61.73070 W,WRC,Un-Treated,26.4,,,0,Pre-Test (Low Range)
626 (2),45.57783 N,61.73070 W,WRC,Un-Treated,24.1,,,0,Pre-Test (Low Range)
626 (3),45.57783 N,61.73070 W,WRC,Un-Treated,19.3,,,0,Pre-Test (Low Range)
627 (1),45.57796 N,61.72492 W,DF,Penta,22.1,0.591,,0.249,
627 (2),45.57796 N,61.72492 W,RP,Penta,18.6,0.493,,0.18,
627 (3),45.57796 N,61.72492 W,DF,Penta,18.1,1.832,,0.772,
628 (1),45.57787 N,61.72246 W,DF,Penta,18.1,0.886,,0.373,
628 (2),45.57787 N,61.72246 W,DF,Penta,20.1,1.933,,0.815,
628 (3),45.57787 N,61.72246 W,DF,Penta,18.3,1.149,,0.484,
629 (1),45.57777 N,61.71698 W,DF,Penta,17.9,0.622,,0.262,
629 (2),45.57777 N,61.71698 W,DF,Penta,18.1,0.181,,0.076,
629 (3),45.57777 N,61.71698 W,DF,Penta,20.6,0.801,,0.338,
630 (1),45.57776 N,61.71421 W,DF,Penta,18.9,1.296,,0.546,
630 (2),45.57776 N,61.71421 W,DF,Penta,20.1,0.596,,0.251,
631 (1),45.57772 N,61.71208 W,WRC,Penta,28.5,0.101,,0.035,
631 (2),45.57772 N,61.71208 W,WRC,Un-Treated,27.6,,,0,Pre-Test (Low Range)
632 (1),45.57765 N,61.71002 W,SYP,Penta,21.9,0.727,,0.367,
632 (2),45.57765 N,61.71002 W,SYP,Penta,19.7,1.007,,0.509,
633 (1),45.57768 N,61.70738 W,RP,Penta,28.2,0.374,,0.136,
633 (2),45.57768 N,61.70738 W,RP,Creo,24.1,,,0,Pre-Test (Low Range)
634 (1),45.57757 N,61.70435 W,DF,Penta,18.9,0.81,,0.342,
634 (2),45.57757 N,61.70435 W,DF,Penta,20.6,2.036,,0.858,
635 (1),45.57754 N,61.70005 W,RP,Penta,21,0.625,,0.263,
635 (2),45.57754 N,61.70005 W,RP,Penta,18.1,0.864,,0.364,
636 (1),45.57748 N,61.69636 W,WRC,Un-Treated,24.8,,,0,Pre-Test (Low Range)
636 (2),45.57748 N,61.69636 W,SYP,Penta,19.3,0.702,,0.355,
637 (1),45.57742 N,61.69239 W,RP,Creo,23.1,,,0,Pre-Test (Low Range)
637 (2),45.57742 N,61.69239 W,RP,Creo,22.9,,,0,Pre-Test (Low Range)
638 (1),45.57755 N,61.69054 W,WRC,Un-Treated,18.1,,,0,Pre-Test (Low Range)
638 (2),45.57755 N,61.69054 W,WRC,Un-Treated,17.9,,,0,Pre-Test (Low Range)
638 (3),45.57755 N,61.69054 W,WRC,Un-Treated,16.7,,,0,Pre-Test (Low Range)
639 (1),45.57785 N,61.68842 W,WRC,Un-Treated,18.1,,,0,Pre-Test (Low Range)
639 (2),45.57785 N,61.68842 W,WRC,Un-Treated,20.2,,,0,Pre-Test (Low Range)
640 (1),45.57854 N,61.68534 W,DF,Penta,20.1,1.146,,0.483,
640 (2),45.57854 N,61.68534 W,DF,Penta,21.2,1.121,,0.472,
641 (1),45.57944 N,61.68140 W,DF,Penta,20.9,0.984,,0.415,
641 (2),45.57944 N,61.68140 W,DF,Penta,18.9,1.258,,0.53,
642 (1),45.57988 N,61.67921 W,DF,Penta,19.2,0.503,,0.212,
642 (2),45.57988 N,61.67921 W,DF,Penta,20.3,0.619,,0.261,
643 (1),45.58034 N,61.67725 W,RP,Creo,24.6,,,0,Pre-Test (Low Range)
643 (2),45.58034 N,61.67725 W,RP,Creo,23.1,,,0,Pre-Test (Low Range)
644 (1),45.58087 N,61.67537 W,RP,Creo,14.1,,,0,Pre-Test (Low Range)
644 (2),45.58087 N,61.67537 W,RP,Creo,19.7,,,0,Pre-Test (Low Range)
645 (1),45.58138 N,61.67215 W,RP,Creo,25,,,0,Pre-Test (Low Range)
645 (2),45.58138 N,61.67215 W,RP,Creo,17.9,,,0,Pre-Test (Low Range)
646 (1),45.58171 N,61.67042 W,DF,Penta,28.7,0.154,,0.065,
646 (2),45.58171 N,61.67042 W,DF,Penta,23.9,0.462,,0.195,
647 (1),45.58221 N,61.66788 W,RP,Creo,24.7,,,0,Pre-Test (Low Range)
647 (2),45.58221 N,61.66788 W,RP,Creo,20.9,,,0,Pre-Test (Low Range)
648 (1),45.58293 N,61.66465 W,DF,Penta,21.8,0.419,,0.177,
648 (2),45.58293 N,61.66465 W,DF,Penta,17.2,0.341,,0.144,
649 (1),45.58362 N,61.66119 W,RP,Penta,24,0.373,,0.136,
649 (2),45.58362 N,61.66119 W,WRC,Un-Treated,20.1,,,0,Pre-Test (Low Range)
650 (1),45.58426 N,61.65867 W,RP,Penta,19.4,0.255,,0.093,
650 (2),45.58426 N,61.65867 W,RP,Creo,17.2,,,0,Pre-Test (Low Range)
651 (1),45.58484 N,61.65536 W,DF,Penta,21.8,2.607,,1.099,
651 (2),45.58484 N,61.65536 W,DF,Penta,15.6,1.561,,0.658,
652 (1),45.58549 N,61.65171 W,RP,Creo,11.9,,,0,Pre-Test (Low Range)
652 (2),45.58549 N,61.65171 W,RP,Creo,10.5,,,0,Pre-Test (Low Range)
653 (1),45.58608 N,61.64979 W,WRC,Penta,27.5,0.083,,0.029,
653 (2),45.58608 N,61.64979 W,RP,Penta,14.2,0.19,,0.069,
654 (1),45.58671 N,61.61640 W,WRC,Un-Treated,25.1,,,0,Pre-Test (Low Range)
654 (2),45.58671 N,61.61640 W,WRC,Un-Treated,22.1,,,0,Pre-Test (Low Range)
655 (1),45.58717 N,61.6447 W,RP,Creo,12.1,,,0,Pre-Test (Low Range)
655 (2),45.58717 N,61.6447 W,RP,Creo,13.8,,,0,Pre-Test (Low Range)
656 (1),45.58783 N,61.64117 W,RP,Penta,14.8,0.583,,0.212,
656 (2),45.58783 N,61.64117 W,SYP,Penta,12.2,0.522,,0.264,
657 (1),45.58859 N,61.63726 W,SYP,Penta,18.3,0.457,,0.231,
657 (2),45.58859 N,61.63726 W,SYP,Penta,16.4,0.259,,0.131,
658 (1),45.58928 N,61.63436 W,RP,Penta,12.8,0.528,,0.193,
658 (2),45.58928 N,61.63436 W,SYP,Penta,13.7,0.421,,0.213,
659 (1),45.58982 N,61. 63153 W,WRC,Un-Treated,27.1,,,0,Pre-Test (Low Range)
659 (2),45.58982 N,61. 63153 W,WRC,Un-Treated,15.9,,,0,Pre-Test (Low Range)
660 (1),45.59036 N,61.62886 W,DF,Penta,16.5,1.024,,0.432,
660 (2),45.59036 N,61.62886 W,DF,Penta,12.1,0.999,,0.421,
661 (1),45.59141 N,61.62379 W,RP,Penta,28.7,0.258,,0.094,
661 (2),45.59141 N,61.62379 W,RP,Penta?,19.3,0.004,,0.002,
661 (3),45.59141 N,61.62379 W,RP,Penta?,16.4,0.083,,0.03,
662 (1),45.59218 N,61.62023 W,DF,Penta,17.2,1.58,,0.666,
662 (2),45.59218 N,61.62023 W,DF,Penta,16,1.486,,0.627,
663 (1),45.59314 N,61.61560 W,DF,Penta,17.2,1.093,,0.461,
663 (2),45.59314 N,61.61560 W,DF,Penta,12.9,0.7,,0.295,
664 (1),45.59404 N,61.61127 W,SYP,Penta,20.9,0.571,,0.288,
664 (2),45.59404 N,61.61127 W,SYP,Penta,20.5,0.674,,0.341,
665 (1),45.59449 N,61.60847 W,RP,Creo,27.6,,,0,Pre-Test (Low Range)
665 (2),45.59449 N,61.60847 W,RP,Creo,25.4,,,0,Pre-Test (Low Range)
666 (1),45.59534 N,61.60605 W,DF,Penta,19.2,0.079,,0.033,
666 (2),45.59534 N,61.60605 W,DF,Penta,16.7,1.947,,0.821,
667 (1),45.59577 N,61.60259 W,RP,Penta,14.3,0.226,,0.082,
667 (2),45.59577 N,61.60259 W,RP,Penta,12.9,0.195,,0.071,
668 (1),45.59606 N,61.60158 W,RP,Penta,21.3,0.739,,0.269,
668 (2),45.59606 N,61.60158 W,RP,Penta,23.9,0.718,,0.262,
669 (1),45.59682 N,61.59742 W,RP,Creo,11.2,,,0,Pre-Test (Low Range)
669 (2),45.59682 N,61.59742 W,RP,Creo,8.4,,,0,Pre-Test (Low Range)
670 (1),45.59763 N,61.59430 W,RP,Creo,14.3,,,0,Pre-Test (Low Range)
670 (2),45.59763 N,61.59430 W,RP,Creo,12.9,,,0,Pre-Test (Low Range)
671 (1),45.59794 N,61.59281 W,SYP,Penta,6.8,0.351,,0.178,
671 (2),45.59794 N,61.59281 W,SYP,Penta,6.1,0.586,,0.296,
,,,,,,,,,
672 (1),45.59852 N,61.59010 W,RP,,11.7,0,,0,
672 (2),45.59852 N,61.59010 W,RP,,11,0,,0,
673 (1),45.59899 N,61. 58767 W,DF,,9.2,0.399,,0.168,
673 (2),45.59899 N,61. 58767 W,DF,,7.3,1.68,,0.708,
674 (1),45.59959 N,61.58474 W,,,14.8,0.555,,0.202,
674 (2),45.59959 N,61.58474 W,,,15.2,0.431,,0.157,
675 (1),45.60028 N,61.58171 W,RP,,11.7,0.489,,0.178,
675 (2),45.60028 N,61.58171 W,RP,,11,0.125,,0.045,
